市場,代號,公司簡稱,公告日期,異動情形,新任者,舊任者,生效日期,異動原因,公告來源
上市,1805,寶徠,95/03/10,人事調整,陳有余,杜文貴,95/03/10,人事調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1805"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,4104,佳醫,95/03/09,職務變動,尤宜安,連淑雯,95/03/10,因職務調動，原稽核主管連淑雯小姐異動為財務主任，改由原會計處專案經理尤宜安小姐轉任為新任稽核主管。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4104"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,5315,光聯,95/03/08,辭職,,葉宗達,舊任者95/03/10離職，新任者預計到職日95/04/15,生涯規劃離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5315"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,4104,佳醫,95/03/08,職務變動,尤宜安,連淑雯,95/03/10,職務變動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4104"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,6208,日揚,95/03/06,職務異動,楊筑傑,楊怡琳,95/03/06,職務異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6208"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,3354,律勝,95/03/06,職務調動,陳秋月,莊志誠,95/03/06,職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3354"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2845,遠東銀,95/03/06,死亡,,楊大衛,不適用,原任總稽核因病辭世,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2845"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,8087,麗升能源,95/03/03,離職,郭玉霞,周雅容,95/03/03,離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8087"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,1506,正道,95/03/03,另有高就,陳玲菁,馬秀珠,95/03/03,另有高就,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1506"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,9939,宏全,95/03/01,職務調整,吳烈昆,鄭佳惠,95/03/01,公司內部職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""9939"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,6175,立敦,95/03/01,職務調整,柯淑雯,劉慕慈,95/03/01,公司內部職務輪調,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6175"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,3321,同泰,95/03/01,職務異動,李榮德,游美娟,95/02/27,職務異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3321"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,1503,士電,95/03/01,職務調整,李正昌,張堂萍,依本公司行政管理處之公告為準,本公司內部職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1503"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,4129,聯合,95/02/27,職務調整,王亮月,林延生,95/02/27,內部職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4129"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,3209,全科,95/02/27,辭職,,王曉雯,95/02/28,至外縣市定居而離職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3209"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,3046,建碁,95/02/27,內部職務調整,鄭金鳳,黃翠萍,95/02/27,內部職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3046"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,6266,泰詠,95/02/24,辭職,薛凱添,黃世傑,95/02/23,原稽核黃世傑因個人生涯規劃離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6266"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,6227,茂綸,95/02/24,離職,游佩靜,鄧素珠,95/03/01,離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6227"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,6103,合邦,95/02/24,職務調整,王雪慧,張維文,95/02/24,業務需求,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6103"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,1443,立益物流,95/02/24,職務調整,盧麗綿,姜淑惠,95/01/12,舊任者內部職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1443"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,5410,國眾,95/02/22,辭職,彭美慧,周利龍,95/03/10,原稽核主管離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5410"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,1231,聯華食,95/02/22,職位調動,許美慧,徐宥玲,95/02/23,職位調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1231"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,3455,由田,95/02/21,職務調整,黃淑玲,廖建福,95/02/21,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3455"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,1446,宏和,95/02/21,職務調整,王苓蘭,張滄祐,95/02/21,為配合組織異動及內部作業需要,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1446"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,3465,進泰電子,95/02/17,職務異動/新聘,何仲儀,張秀婉,95/02/17,職務異動/新聘,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3465"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2454,聯發科,95/02/17,職務調整,劉錫麟,陳維漢,95/02/17,原任內部稽核主管工作內容變更,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2454"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2426,鼎元,95/02/17,職務異動,陶鎮,王志銘,95/02/20,職務異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2426"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2402,毅嘉,95/02/17,辭職,曾志仁,陳麗玲,擬予適當時機進行人事佈達,原內部稽核主管因個人因素離職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2402"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2317,鴻海,95/02/17,職務異動,邱一郎,許明泉,95/02/17,職務異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2317"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2884,玉山金,95/02/16,屆齡退休,簡維進,陳正雄,95/02/16,屆齡退休,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2884"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2884,玉山金 代：玉山票券,95/02/16,退休,謝啟東,陳正雄,95/02/16,屆齡退休,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2884"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,1513,中興電,95/02/14,職務調整,陳立文,楊進添,95/02/14,"為加強大陸轉投資公司治理,暨借重其品保專業,原任總稽核楊進添先生轉任大陸中興電氣科技(江蘇)有限公司總經理一職。","{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1513"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,4513,福裕,95/02/10,人員異動,莊雅玲,黃一東,95/01/20,人員異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4513"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,4413,飛寶企業,95/02/10,自動請辭,蔡明宏,曹永睦,95/02/10,自動請辭,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4413"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2882,國泰金 代：國泰證券,95/02/10,辭職,簡敏雄,陳榮吉,95/02/10,陳榮吉因個人因素請辭,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2882"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,4523,永彰,95/02/09,業務調整,楊建德,蔡正建,95/02/09,業務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4523"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,3004,豐達科,95/02/09,辭任,李文正,何仲儀,95/02/08,辭任,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3004"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,8088,品安,95/02/08,組織調整,陳淑蓮,王儀威,95/02/08,組織調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8088"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,6161,捷波,95/02/07,職務調整,林承濂,何偉強,95/02/08,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6161"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,8383,千附,95/02/06,職務調整,阮黛玲,林婷媚,95/02/06,公司內部職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8383"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,8905,裕國,95/01/27,職務調整,林麗心,林麗心,95/01/26,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8905"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,6259,百徽,95/01/27,職務調整,史志強,張振榮,95/01/25,配合公司組織架構調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6259"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
公開發行,2833,台灣人壽,95/01/27,退休,林鳳品,葉宗男,95/02/01,退休,"{""KIND"": ""X"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2833"", ""TYPEK"": ""pub"", ""year"": ""2006""}"
上市,1453,大將,95/01/27,職務異動,黃念慈,陳秀芬,95/01/27,職務異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1453"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,1438,三地開發,95/01/26,職務調整,黎國基,林芙萱,95/01/31,內部職務調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1438"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,5364,力麗店,95/01/25,職務調整,林淑寬,劉學濂,95/01/25,公司內部職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5364"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,9943,好樂迪,95/01/24,辭職,宋曉青,宋秀蓮,95/01/24,因個人生涯規劃之故請辭,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""9943"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,6292,迅德,95/01/24,職務異動,簡靖,邱惠敏,95/01/24,職務異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6292"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2611,志信,95/01/24,職務調整,林燕文,陳文隆,95/01/24,公司內部人員調升,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2611"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,1788,杏昌,95/01/24,職務調整,彭聖洋,張耀元,95/01/17,原任稽核主管張耀元調任會計課,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1788"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,1410,南染,95/01/24,職務調整,陳恩全,李錦爵,95/01/24,內部工作調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1410"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2616,山隆,95/01/23,職務調整,高誌嶸,甘冠凌,95/02/01,配合組織調整及實際業務需要異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2616"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2382,廣達,95/01/23,組織調整,陳培明,孫玉鳳,95/01/23,組織調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2382"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2379,瑞昱,95/01/23,原稽核主管離職,江廷桔,朱義星,95/01/23,原稽核主管離職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2379"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,4530,宏易,95/01/20,職務調整,蕭鴻欽,范秉琪,95/01/20,"配合集團組織調整,原任者調任他職","{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4530"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2889,國票金 代：國票綜合證券,95/01/20,舊任者因離職由副總稽核代理總稽核職務,曾秀貞,張立威,95/02/01,舊任者因離職由副總稽核代理總稽核職務,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2889"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,2481,強茂,95/01/20,職務調整,顏良翰,陳義生,95/02/01,"為配合公司組織調整,董事會決議通過原稽核室主管陳義生自95年2月1日起升任總經理室特別助理,稽核主管一職由稽核專員顏良翰接任","{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2481"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,3095,及成,95/01/18,辭職,郭朝仁,佟怡華,95/01/17,因個人健康因素而辭職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3095"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2354,鴻準,95/01/18,職務異動,張君豪,劉仁龍,95/01/18,職務異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2354"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,1709,和益,95/01/18,退休,李志峰,陳佳慶,95/03/01,前稽核主管申請退休,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1709"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,3167,大量,95/01/16,退休,陳俊銘,陳秀明,95/01/01,本公司稽核主管原稽核主管94/12/31起退休，改由陳俊銘專員轉任稽核主管,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3167"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,3176,基亞,95/01/13,舊任內部稽核主管離職,黃介良,許素玲,94/01/13,舊任內部稽核主管離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3176"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2890,永豐金 代：安信信用卡,95/01/12,,陳志松,楊偉莉,95/02/03,董事會決議,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2890"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,4413,飛寶企業,95/01/11,離職,曹永睦,吳仁懷,95/01/10,內部稽核主管吳仁懷離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4413"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,3374,精材,95/01/11,職務異動,簡良玉,劉興邦,95/01/11,職務異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3374"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,3023,信邦,95/01/11,職務輪調之故,謝玉玲,陳振峰,95/01/11,職務輪調之故,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3023"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,6121,新普,95/01/09,職務調整,張孝慈,謝豐旭,95/01/09,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6121"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上市,2524,京城,95/01/06,職務調整,蔡欣燕,江耀賢,95/01/15,公司內部職務調整及業務需要,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2524"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,1537,廣隆,95/01/06,職務調整,胡志宇,洪相正,95/01/06,因業務需要輪調,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1537"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,4106,雃博,95/01/04,職務調動,鄧韻玉,莊國祥,95/01/01,職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4106"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上市,1805,寶徠,95/01/03,人事調整,杜文貴,黃憲禎,94/12,人事調整,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1805"", ""TYPEK"": ""sii"", ""year"": ""2006""}"
上櫃,5344,立衛,95/01/02,職務調整,彭惠絹,陳秀芬,94/12/30,因本公司內部職務異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5344"", ""TYPEK"": ""otc"", ""year"": ""2006""}"
上櫃,8080,泰霖,94/12/30,職務調整,李銘賀,李佩燕,95/01/01,原任稽核主管李佩燕小姐因工作表現優良，本公司在徵詢本人意願後，擬為其提供職涯規劃－轉任業務部副理，本人事案業經董事長核准，擬自95年1月1日起生效。為使本公司內部控制制度順利推行，並符合相關法令規定，擬聘本公司原稽核專員－李銘賀先生接任本公司內部稽核主管。,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8080"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,6023,元大期貨,94/12/30,辭職,劉真文,姜淑玲,95/01/01,姜淑玲襄理因病離職,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6023"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,2702,華園,94/12/30,調職,吳為乾,柯漢魁,94/12/30,原稽核主管調職,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2702"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,8931,大汽電,94/12/29,新任,徐聰明,無,95/01/01,新任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8931"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,3024,憶聲,94/12/29,退休,陳孟秋,沈秀貞,950101,退休,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3024"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上市,2488,漢平,94/12/29,職務調整,林劍青,朱文賢,95/01/01,原稽核主管內部職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2488"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,5488,松普,94/12/27,內部職務調動,陳逸琦,陳錦士,95/01/01,內部職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5488"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,2885,元大金 代：復華綜合證券公司,94/12/27,變更,張岳群,劉燕瀅,950101,變更,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2885"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上市,2885,元大金 代：復華證金,94/12/27,更換,黃詩淳,張靜萍,94/12/27,更換,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2885"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上市,1451,年興,94/12/27,職務調整,何頎皋,韓佳良,94/12/27,本公司內部稽核主管韓佳良先生，因轉任委外成衣事業部協理一職，故內部稽核主管變更由何頎皋副理擔任。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1451"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,5483,中美晶,94/12/26,職務調動,范賜珍,王玲芬,95/1/1,職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5483"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,3234,光環,94/12/26,職務調動,張靜芳,陳萍琳,94/12/26,職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3234"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,5213,亞昕,94/12/22,職務調整,黃文慧,林淑惠,94/12/22,公司內部職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5213"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,2417,圓剛,94/12/22,職務調動,賴玲慧,許起裕,自即日起生效,職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2417"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
公開發行,3342,飛虹高科,94/12/21,職務調整,申素梅,管玉華,94/12/21,原總稽核管玉華職務調動為副總經理。,"{""KIND"": ""X"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""3342"", ""TYPEK"": ""pub"", ""year"": ""2005""}"
上市,2342,茂矽,94/12/20,職務調整,李宇聖,趙漢興,94/12/21,因現任稽核長趙漢興先生職務異動，經董事會決議通過指派李宇聖先生接任內部稽核一職。,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2342"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,8908,欣雄,94/12/19,職務調整,陳宗桂,張博勝,95/01/01,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8908"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,6266,泰詠,94/12/19,職務調整,黃世傑,薛凱添,94/12/14,內部職務調動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""6266"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,2385,群光,94/12/19,職務調動,周棟伍,歐謙興,94/12/19,職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2385"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,8040,九暘,94/12/16,職務調整,王婉娥,蕭捷勝,94/12/16,組織調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8040"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,5014,建錩,94/12/15,職務調整,陳雪梅,李旺峰,94/12/15,職務調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5014"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,4905,台聯電,94/12/15,職務調整,林勇孚,陳春成,依本公司管理中心之公告為準,本公司職務人事調整,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4905"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,1603,華電,94/12/14,職務調動,馮偉華,楊宗璘,94/12/16,業務需要職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""1603"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上市,9904,寶成,94/12/13,職務調整,沈玉梅,周素靖,94/12/13,內部職務調動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""9904"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,8048,德勝,94/12/13,新任,王玉玲,童慧敏,94/12/09,新任稽核人員到任,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8048"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上市,2884,玉山金 代：玉山證券,94/12/12,職務異動,陳勸仁,李進成,94/12/12,職務異動,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""2884"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上市,5007,三星,94/12/08,職務調動,駱炳堯,葛憲惠,94/12/01,職務調動，並經董事會於94.12.08決議通過,"{""KIND"": ""L"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""5007"", ""TYPEK"": ""sii"", ""year"": ""2005""}"
上櫃,4716,大立,94/12/07,退休,毛鴻榮,林春敏,950101,舊任者申請自民國94年12月31日退休,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""4716"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
上櫃,8076,伍豐,94/12/06,職務異動,王宣閔,潘梅玉,94/12/07,職務異動,"{""KIND"": ""O"", ""CODE"": """", ""month1"": ""0"", ""step"": ""2"", ""co_id"": ""8076"", ""TYPEK"": ""otc"", ""year"": ""2005""}"
